id,company,product,section,query,intent,expected_feedback,feedback,weak_spot_type
178,Bravira Therapeutics,AllerNase,safety,What are the safety guardrails for AllerNase?,field_support,positive,👍,safety_gap
289,Celestia Biologics,HeliClear Kit,negative_spots,What could go wrong if the assistant overstates claims about HeliClear Kit?,field_support,negative,👎,failure_mode
386,Deltava LifeSciences,JointEase Plus,comparison_language,How can JointEase Plus be compared with competitors safely?,field_support,positive,👍,unsafe_comparison
270,Celestia Biologics,HeliClear Kit,doctor_pitch,How should a field medical rep pitch HeliClear Kit to doctors?,field_support,positive,👎,pitch_clarity
84,Asteron Pharma,LipiCore 20,doctor_pitch,What is the doctor-facing message for LipiCore 20?,field_support,positive,👍,pitch_clarity
131,Bravira Therapeutics,,How should the assistant answer common MR questions in {company}?,How should the assistant answer common MR questions in Bravira Therapeutics?,document_retrieval,neutral,👎,none
472,Epsilon Care,AntiBac-CL,safety,What safety points should the AI assistant mention for AntiBac-CL?,field_support,positive,👍,safety_gap
93,Asteron Pharma,LipiCore 20,comparison_language,How can LipiCore 20 be compared with competitors safely?,field_support,positive,👍,unsafe_comparison
425,Epsilon Care,,What products are listed in {company}?,What products are listed in Epsilon Care?,document_retrieval,neutral,👎,none
531,Asteron Pharma,,meta_pattern,Give me the approved messaging for Asteron Pharma.,analyzer_training,neutral,👍,analysis_signal
339,Deltava LifeSciences,,What is the deployment sign-off checklist?,What is the deployment sign-off checklist?,document_retrieval,neutral,👎,none
283,Celestia Biologics,HeliClear Kit,comparison_language,How should HeliClear Kit be positioned against competitor options?,field_support,positive,👎,unsafe_comparison
393,Deltava LifeSciences,JointEase Plus,safety,What must be avoided when discussing JointEase Plus?,field_support,positive,👍,safety_gap
292,Celestia Biologics,HeliClear Kit,negative_spots,Where can the answer become non-compliant for HeliClear Kit?,field_support,negative,👎,failure_mode
13,Asteron Pharma,,How should {company} position its brands strategically?,How should Asteron Pharma position its brands strategically?,document_retrieval,neutral,👍,none
537,Asteron Pharma,,meta_pattern,How can the system detect unsupported claims in Asteron Pharma documents?,analyzer_training,negative,👎,analysis_signal
546,Bravira Therapeutics,,meta_pattern,What should the assistant say when asked for off-label use?,analyzer_training,negative,👎,policy_violation
218,Celestia Biologics,,Give me the products and their uses for {company}.,Give me the products and their uses for Celestia Biologics.,document_retrieval,neutral,👎,none
560,Celestia Biologics,,meta_pattern,What is the best retrieval target for thumbs-down analysis?,analyzer_training,neutral,👍,analysis_signal
165,Bravira Therapeutics,AllerNase,doctor_pitch,What is the doctor-facing message for AllerNase?,field_support,positive,👍,pitch_clarity
429,Epsilon Care,,What are the key products under {company}?,What are the key products under Epsilon Care?,document_retrieval,neutral,👎,none
185,Bravira Therapeutics,AllerNase,negative_spots,What are the likely weak spots for Bravira Therapeutics content?,field_support,negative,👎,failure_mode
480,Epsilon Care,AntiBac-CL,negative_spots,What kind of answer should be flagged as negative for AntiBac-CL?,field_support,negative,👎,failure_mode
412,Deltava LifeSciences,MyoRelax,comparison_language,What wording should be used versus competitors for MyoRelax?,field_support,positive,👍,unsafe_comparison
442,Epsilon Care,,What checks are required before deploying this content?,What checks are required before deploying this content?,document_retrieval,neutral,👍,none
202,Bravira Therapeutics,BreatheCalm Duo,comparison_language,How should BreatheCalm Duo be positioned against competitor options?,field_support,positive,👍,unsafe_comparison
97,Asteron Pharma,LipiCore 20,safety,What are the safety guardrails for LipiCore 20?,field_support,positive,👍,safety_gap
294,Celestia Biologics,UltraProbiotic,doctor_pitch,Give the doctor-facing pitch for UltraProbiotic.,field_support,positive,👍,pitch_clarity
216,Celestia Biologics,,Show the product list for {company}.,Show the product list for Celestia Biologics.,document_retrieval,neutral,👍,none
532,Asteron Pharma,,meta_pattern,What language should the AI avoid for Asteron Pharma?,analyzer_training,negative,👎,policy_violation
177,Bravira Therapeutics,AllerNase,comparison_language,How should AllerNase be positioned against competitor options?,field_support,positive,👎,unsafe_comparison
417,Deltava LifeSciences,MyoRelax,safety,List the safety restrictions for MyoRelax.,field_support,positive,👍,safety_gap
22,Asteron Pharma,,Give AI Q&A examples for MR support in {company}.,Give AI Q&A examples for MR support in Asteron Pharma.,document_retrieval,neutral,👎,none
173,Bravira Therapeutics,AllerNase,comparison_language,What comparison language is allowed for AllerNase?,field_support,positive,👎,unsafe_comparison
303,Celestia Biologics,UltraProbiotic,evidence_story,Summarize the evidence-based narrative for UltraProbiotic.,field_support,positive,👍,evidence_missing_or_overstated
222,Celestia Biologics,,How does {company} position its products against competitors?,How does Celestia Biologics position its products against competitors?,document_retrieval,neutral,👎,none
410,Deltava LifeSciences,MyoRelax,comparison_language,What comparison language is allowed for MyoRelax?,field_support,positive,👍,unsafe_comparison
187,Bravira Therapeutics,AllerNase,negative_spots,What kind of answer should be flagged as negative for AllerNase?,field_support,negative,👎,failure_mode
457,Epsilon Care,AntiBac-CL,doctor_pitch,How should a field medical rep pitch AntiBac-CL to doctors?,field_support,positive,👎,pitch_clarity
356,Deltava LifeSciences,Neurova SR,evidence_story,What evidence should support Neurova SR?,field_support,positive,👍,evidence_missing_or_overstated
529,Epsilon Care,SkinCalm,negative_spots,Where can the answer become non-compliant for SkinCalm?,field_support,negative,👎,failure_mode
378,Deltava LifeSciences,JointEase Plus,doctor_pitch,Provide a concise doctor call pitch for JointEase Plus.,field_support,positive,👎,pitch_clarity
252,Celestia Biologics,GastaZen,evidence_story,What should be included in the scientific story for GastaZen?,field_support,positive,👎,evidence_missing_or_overstated
437,Epsilon Care,,How should {company} position its brands strategically?,How should Epsilon Care position its brands strategically?,document_retrieval,neutral,👍,none
148,Bravira Therapeutics,RespiraX HFA,comparison_language,What comparison language is allowed for RespiraX HFA?,field_support,positive,👍,unsafe_comparison
580,Epsilon Care,,meta_pattern,What is the best retrieval target for thumbs-down analysis?,analyzer_training,neutral,👎,analysis_signal
476,Epsilon Care,AntiBac-CL,negative_spots,What could go wrong if the assistant overstates claims about AntiBac-CL?,field_support,negative,👍,failure_mode
323,Deltava LifeSciences,,What are the key products under {company}?,What are the key products under Deltava LifeSciences?,document_retrieval,neutral,👍,none
513,Epsilon Care,SkinCalm,evidence_story,How should the assistant explain the evidence for SkinCalm?,field_support,positive,👍,evidence_missing_or_overstated
409,Deltava LifeSciences,MyoRelax,evidence_story,Summarize the evidence-based narrative for MyoRelax.,field_support,positive,👍,evidence_missing_or_overstated
481,Epsilon Care,DermaShield,doctor_pitch,Give the doctor-facing pitch for DermaShield.,field_support,positive,👍,pitch_clarity
450,Epsilon Care,,Provide sample doctor support Q&A for {company}.,Provide sample doctor support Q&A for Epsilon Care.,document_retrieval,neutral,👎,none
482,Epsilon Care,DermaShield,doctor_pitch,How should a field medical rep pitch DermaShield to doctors?,field_support,positive,👍,pitch_clarity
519,Epsilon Care,SkinCalm,comparison_language,Give approved comparison language for SkinCalm.,field_support,positive,👍,unsafe_comparison
408,Deltava LifeSciences,MyoRelax,evidence_story,What should be included in the scientific story for MyoRelax?,field_support,positive,👎,evidence_missing_or_overstated
443,Epsilon Care,,What should be validated before release?,What should be validated before release?,document_retrieval,neutral,👎,none
404,Deltava LifeSciences,MyoRelax,doctor_pitch,How should MyoRelax be introduced to a clinician?,field_support,positive,👎,pitch_clarity
120,Bravira Therapeutics,,What is the positioning strategy described in the document?,What is the positioning strategy described in the document?,document_retrieval,neutral,👍,none
89,Asteron Pharma,LipiCore 20,evidence_story,How should the assistant explain the evidence for LipiCore 20?,field_support,positive,👎,evidence_missing_or_overstated
75,Asteron Pharma,GlucoSure XR,safety,What must be avoided when discussing GlucoSure XR?,field_support,positive,👍,safety_gap
23,Asteron Pharma,,Show sample questions and answers for {company}.,Show sample questions and answers for Asteron Pharma.,document_retrieval,neutral,👎,none
504,Epsilon Care,DermaShield,negative_spots,Where can the answer become non-compliant for DermaShield?,field_support,negative,👎,failure_mode
15,Asteron Pharma,,Explain the portfolio strategy of {company}.,Explain the portfolio strategy of Asteron Pharma.,document_retrieval,neutral,👍,none
107,Bravira Therapeutics,,What products are listed in {company}?,What products are listed in Bravira Therapeutics?,document_retrieval,neutral,👎,none
486,Epsilon Care,DermaShield,evidence_story,What is the evidence-led story for DermaShield?,field_support,positive,👍,evidence_missing_or_overstated
69,Asteron Pharma,GlucoSure XR,comparison_language,What wording should be used versus competitors for GlucoSure XR?,field_support,positive,👍,unsafe_comparison
87,Asteron Pharma,LipiCore 20,evidence_story,What is the evidence-led story for LipiCore 20?,field_support,positive,👍,evidence_missing_or_overstated
528,Epsilon Care,SkinCalm,negative_spots,What are the likely weak spots for Epsilon Care content?,field_support,negative,👎,failure_mode
522,Epsilon Care,SkinCalm,safety,What safety points should the AI assistant mention for SkinCalm?,field_support,positive,👍,safety_gap
403,Deltava LifeSciences,MyoRelax,doctor_pitch,Provide a concise doctor call pitch for MyoRelax.,field_support,positive,👎,pitch_clarity
511,Epsilon Care,SkinCalm,evidence_story,What is the evidence-led story for SkinCalm?,field_support,positive,👍,evidence_missing_or_overstated
119,Bravira Therapeutics,,How should {company} position its brands strategically?,How should Bravira Therapeutics position its brands strategically?,document_retrieval,neutral,👎,none
310,Celestia Biologics,UltraProbiotic,safety,What safety points should the AI assistant mention for UltraProbiotic?,field_support,positive,👍,safety_gap
9,Asteron Pharma,,What is the comparison logic used in the {company} document?,What is the comparison logic used in the Asteron Pharma document?,document_retrieval,neutral,👎,none
259,Celestia Biologics,GastaZen,safety,What are the safety guardrails for GastaZen?,field_support,positive,👍,safety_gap
43,Asteron Pharma,CardiVex 10,comparison_language,How can CardiVex 10 be compared with competitors safely?,field_support,positive,👍,unsafe_comparison
52,Asteron Pharma,CardiVex 10,negative_spots,What could go wrong if the assistant overstates claims about CardiVex 10?,field_support,negative,👎,failure_mode
455,Epsilon Care,,How can the model detect weak spots in {company} content?,How can the model detect weak spots in Epsilon Care content?,document_retrieval,neutral,👎,none
505,Epsilon Care,DermaShield,negative_spots,What kind of answer should be flagged as negative for DermaShield?,field_support,negative,👎,failure_mode
347,Deltava LifeSciences,,How should feedback be captured for {company} documents?,How should feedback be captured for Deltava LifeSciences documents?,document_retrieval,neutral,👍,none
117,Bravira Therapeutics,,What is the summary of {company}'s portfolio?,What is the summary of Bravira Therapeutics's portfolio?,document_retrieval,neutral,👎,none
191,Bravira Therapeutics,BreatheCalm Duo,doctor_pitch,Provide a concise doctor call pitch for BreatheCalm Duo.,field_support,positive,👍,pitch_clarity
359,Deltava LifeSciences,Neurova SR,evidence_story,Summarize the evidence-based narrative for Neurova SR.,field_support,positive,👍,evidence_missing_or_overstated
439,Epsilon Care,,Explain the portfolio strategy of {company}.,Explain the portfolio strategy of Epsilon Care.,document_retrieval,neutral,👍,none
561,Deltava LifeSciences,,meta_pattern,Give me the approved messaging for Deltava LifeSciences.,analyzer_training,neutral,👎,analysis_signal
542,Bravira Therapeutics,,meta_pattern,What language should the AI avoid for Bravira Therapeutics?,analyzer_training,negative,👎,policy_violation
434,Epsilon Care,,How does {company} position its products against competitors?,How does Epsilon Care position its products against competitors?,document_retrieval,neutral,👍,none
295,Celestia Biologics,UltraProbiotic,doctor_pitch,How should a field medical rep pitch UltraProbiotic to doctors?,field_support,positive,👍,pitch_clarity
219,Celestia Biologics,,Summarize the products of {company}.,Summarize the products of Celestia Biologics.,document_retrieval,neutral,👍,none
392,Deltava LifeSciences,JointEase Plus,safety,List the safety restrictions for JointEase Plus.,field_support,positive,👎,safety_gap
281,Celestia Biologics,HeliClear Kit,comparison_language,What wording should be used versus competitors for HeliClear Kit?,field_support,positive,👍,unsafe_comparison
269,Celestia Biologics,HeliClear Kit,doctor_pitch,Give the doctor-facing pitch for HeliClear Kit.,field_support,positive,👍,pitch_clarity
5,Asteron Pharma,,What are the key products under {company}?,What are the key products under Asteron Pharma?,document_retrieval,neutral,👍,none
400,Deltava LifeSciences,MyoRelax,doctor_pitch,Give the doctor-facing pitch for MyoRelax.,field_support,positive,👍,pitch_clarity
550,Bravira Therapeutics,,meta_pattern,What is the best retrieval target for thumbs-down analysis?,analyzer_training,neutral,👎,analysis_signal
427,Epsilon Care,,Which brands does {company} mention?,Which brands does Epsilon Care mention?,document_retrieval,neutral,👎,none
212,Bravira Therapeutics,BreatheCalm Duo,negative_spots,What kind of answer should be flagged as negative for BreatheCalm Duo?,field_support,negative,👎,failure_mode
101,Asteron Pharma,LipiCore 20,safety,What are the key safety warnings for LipiCore 20?,field_support,positive,👍,safety_gap
246,Celestia Biologics,GastaZen,doctor_pitch,What is the doctor-facing message for GastaZen?,field_support,positive,👍,pitch_clarity
361,Deltava LifeSciences,Neurova SR,comparison_language,How can Neurova SR be compared with competitors safely?,field_support,positive,👍,unsafe_comparison
141,Bravira Therapeutics,RespiraX HFA,doctor_pitch,Provide a concise doctor call pitch for RespiraX HFA.,field_support,positive,👎,pitch_clarity
133,Bravira Therapeutics,,What RCPA/RAG signals should be tracked for {company}?,What RCPA/RAG signals should be tracked for Bravira Therapeutics?,document_retrieval,neutral,👎,none
201,Bravira Therapeutics,BreatheCalm Duo,comparison_language,Give approved comparison language for BreatheCalm Duo.,field_support,positive,👎,unsafe_comparison
241,Celestia Biologics,,How should feedback be captured for {company} documents?,How should feedback be captured for Celestia Biologics documents?,document_retrieval,neutral,👍,none
557,Celestia Biologics,,meta_pattern,How can the system detect unsupported claims in Celestia Biologics documents?,analyzer_training,negative,👍,analysis_signal
106,Asteron Pharma,LipiCore 20,negative_spots,What kind of answer should be flagged as negative for LipiCore 20?,field_support,negative,👎,failure_mode
46,Asteron Pharma,CardiVex 10,comparison_language,How should CardiVex 10 be positioned against competitor options?,field_support,positive,👍,unsafe_comparison
576,Epsilon Care,,meta_pattern,What should the assistant say when asked for off-label use?,analyzer_training,negative,👎,policy_violation
61,Asteron Pharma,GlucoSure XR,doctor_pitch,How should GlucoSure XR be introduced to a clinician?,field_support,positive,👍,pitch_clarity
188,Bravira Therapeutics,BreatheCalm Duo,doctor_pitch,Give the doctor-facing pitch for BreatheCalm Duo.,field_support,positive,👍,pitch_clarity
549,Bravira Therapeutics,,meta_pattern,Which document section is most important for safety validation?,analyzer_training,neutral,👍,analysis_signal
91,Asteron Pharma,LipiCore 20,evidence_story,Summarize the evidence-based narrative for LipiCore 20.,field_support,positive,👍,evidence_missing_or_overstated
194,Bravira Therapeutics,BreatheCalm Duo,evidence_story,What evidence should support BreatheCalm Duo?,field_support,positive,👍,evidence_missing_or_overstated
396,Deltava LifeSciences,JointEase Plus,negative_spots,Which parts of the document would lead to negative feedback if misused?,field_support,negative,👎,failure_mode
236,Celestia Biologics,,What Q&A examples are provided for doctor support?,What Q&A examples are provided for doctor support?,document_retrieval,neutral,👎,none
415,Deltava LifeSciences,MyoRelax,safety,What are the safety guardrails for MyoRelax?,field_support,positive,👍,safety_gap
278,Celestia Biologics,HeliClear Kit,evidence_story,Summarize the evidence-based narrative for HeliClear Kit.,field_support,positive,👍,evidence_missing_or_overstated
304,Celestia Biologics,UltraProbiotic,comparison_language,What comparison language is allowed for UltraProbiotic?,field_support,positive,👍,unsafe_comparison
487,Epsilon Care,DermaShield,evidence_story,What evidence should support DermaShield?,field_support,positive,👍,evidence_missing_or_overstated
248,Celestia Biologics,GastaZen,doctor_pitch,How should GastaZen be introduced to a clinician?,field_support,positive,👍,pitch_clarity
355,Deltava LifeSciences,Neurova SR,evidence_story,What is the evidence-led story for Neurova SR?,field_support,positive,👍,evidence_missing_or_overstated
111,Bravira Therapeutics,,What are the key products under {company}?,What are the key products under Bravira Therapeutics?,document_retrieval,neutral,👍,none
38,Asteron Pharma,CardiVex 10,evidence_story,What evidence should support CardiVex 10?,field_support,positive,👍,evidence_missing_or_overstated
485,Epsilon Care,DermaShield,doctor_pitch,How should DermaShield be introduced to a clinician?,field_support,positive,👍,pitch_clarity
327,Deltava LifeSciences,,What is the comparison logic used in the {company} document?,What is the comparison logic used in the Deltava LifeSciences document?,document_retrieval,neutral,👍,none
290,Celestia Biologics,HeliClear Kit,negative_spots,Which parts of the document would lead to negative feedback if misused?,field_support,negative,👍,failure_mode
395,Deltava LifeSciences,JointEase Plus,negative_spots,What could go wrong if the assistant overstates claims about JointEase Plus?,field_support,negative,👎,failure_mode
365,Deltava LifeSciences,Neurova SR,safety,What are the safety guardrails for Neurova SR?,field_support,positive,👍,safety_gap
467,Epsilon Care,AntiBac-CL,comparison_language,How can AntiBac-CL be compared with competitors safely?,field_support,positive,👍,unsafe_comparison
20,Asteron Pharma,,List the approval steps before field deployment.,List the approval steps before field deployment.,document_retrieval,neutral,👍,none
500,Epsilon Care,DermaShield,safety,What are the key safety warnings for DermaShield?,field_support,positive,👍,safety_gap
199,Bravira Therapeutics,BreatheCalm Duo,comparison_language,How can BreatheCalm Duo be compared with competitors safely?,field_support,positive,👍,unsafe_comparison
144,Bravira Therapeutics,RespiraX HFA,evidence_story,What evidence should support RespiraX HFA?,field_support,positive,👎,evidence_missing_or_overstated
287,Celestia Biologics,HeliClear Kit,safety,What must be avoided when discussing HeliClear Kit?,field_support,positive,👍,safety_gap
189,Bravira Therapeutics,BreatheCalm Duo,doctor_pitch,How should a field medical rep pitch BreatheCalm Duo to doctors?,field_support,positive,👍,pitch_clarity
114,Bravira Therapeutics,,How are the products in {company} compared?,How are the products in Bravira Therapeutics compared?,document_retrieval,neutral,👎,none
262,Celestia Biologics,GastaZen,safety,What must be avoided when discussing GastaZen?,field_support,positive,👍,safety_gap
179,Bravira Therapeutics,AllerNase,safety,What safety points should the AI assistant mention for AllerNase?,field_support,positive,👍,safety_gap
556,Celestia Biologics,,meta_pattern,What should the assistant say when asked for off-label use?,analyzer_training,negative,👎,policy_violation
213,Celestia Biologics,,What products are listed in {company}?,What products are listed in Celestia Biologics?,document_retrieval,neutral,👎,none
539,Asteron Pharma,,meta_pattern,Which document section is most important for safety validation?,analyzer_training,neutral,👍,analysis_signal
401,Deltava LifeSciences,MyoRelax,doctor_pitch,How should a field medical rep pitch MyoRelax to doctors?,field_support,positive,👍,pitch_clarity
12,Asteron Pharma,,What is the executive strategy for product positioning in {company}?,What is the executive strategy for product positioning in Asteron Pharma?,document_retrieval,neutral,👎,none
525,Epsilon Care,SkinCalm,safety,What are the key safety warnings for SkinCalm?,field_support,positive,👍,safety_gap
536,Asteron Pharma,,meta_pattern,What should the assistant say when asked for off-label use?,analyzer_training,negative,👎,policy_violation
180,Bravira Therapeutics,AllerNase,safety,List the safety restrictions for AllerNase.,field_support,positive,👍,safety_gap
24,Asteron Pharma,,What Q&A examples are provided for doctor support?,What Q&A examples are provided for doctor support?,document_retrieval,neutral,👍,none
14,Asteron Pharma,,What is the positioning strategy described in the document?,What is the positioning strategy described in the document?,document_retrieval,neutral,👍,none
381,Deltava LifeSciences,JointEase Plus,evidence_story,What evidence should support JointEase Plus?,field_support,positive,👍,evidence_missing_or_overstated
126,Bravira Therapeutics,,List the approval steps before field deployment.,List the approval steps before field deployment.,document_retrieval,neutral,👍,none
520,Epsilon Care,SkinCalm,comparison_language,How should SkinCalm be positioned against competitor options?,field_support,positive,👍,unsafe_comparison
362,Deltava LifeSciences,Neurova SR,comparison_language,What wording should be used versus competitors for Neurova SR?,field_support,positive,👍,unsafe_comparison
163,Bravira Therapeutics,AllerNase,doctor_pitch,Give the doctor-facing pitch for AllerNase.,field_support,positive,👍,pitch_clarity
517,Epsilon Care,SkinCalm,comparison_language,How can SkinCalm be compared with competitors safely?,field_support,positive,👎,unsafe_comparison
238,Celestia Biologics,,Provide sample doctor support Q&A for {company}.,Provide sample doctor support Q&A for Celestia Biologics.,document_retrieval,neutral,👎,none
88,Asteron Pharma,LipiCore 20,evidence_story,What evidence should support LipiCore 20?,field_support,positive,👍,evidence_missing_or_overstated
54,Asteron Pharma,CardiVex 10,negative_spots,What are the likely weak spots for Asteron Pharma content?,field_support,negative,👎,failure_mode
155,Bravira Therapeutics,RespiraX HFA,safety,List the safety restrictions for RespiraX HFA.,field_support,positive,👍,safety_gap
208,Bravira Therapeutics,BreatheCalm Duo,negative_spots,What could go wrong if the assistant overstates claims about BreatheCalm Duo?,field_support,negative,👎,failure_mode
70,Asteron Pharma,GlucoSure XR,comparison_language,Give approved comparison language for GlucoSure XR.,field_support,positive,👍,unsafe_comparison
40,Asteron Pharma,CardiVex 10,evidence_story,What should be included in the scientific story for CardiVex 10?,field_support,positive,👍,evidence_missing_or_overstated
535,Asteron Pharma,,meta_pattern,Which part of the document helps the model learn negative feedback signals?,analyzer_training,neutral,👍,analysis_signal
317,Celestia Biologics,UltraProbiotic,negative_spots,Where can the answer become non-compliant for UltraProbiotic?,field_support,negative,👎,failure_mode
263,Celestia Biologics,GastaZen,safety,What are the key safety warnings for GastaZen?,field_support,positive,👍,safety_gap
214,Celestia Biologics,,List the products covered in the {company} document.,List the products covered in the Celestia Biologics document.,document_retrieval,neutral,👍,none
360,Deltava LifeSciences,Neurova SR,comparison_language,What comparison language is allowed for Neurova SR?,field_support,positive,👍,unsafe_comparison
27,Asteron Pharma,,What RCPA/RAG signals should be tracked for {company}?,What RCPA/RAG signals should be tracked for Asteron Pharma?,document_retrieval,neutral,👍,none
340,Deltava LifeSciences,,Give AI Q&A examples for MR support in {company}.,Give AI Q&A examples for MR support in Deltava LifeSciences.,document_retrieval,neutral,👍,none
458,Epsilon Care,AntiBac-CL,doctor_pitch,What is the doctor-facing message for AntiBac-CL?,field_support,positive,👍,pitch_clarity
142,Bravira Therapeutics,RespiraX HFA,doctor_pitch,How should RespiraX HFA be introduced to a clinician?,field_support,positive,👍,pitch_clarity
171,Bravira Therapeutics,AllerNase,evidence_story,What should be included in the scientific story for AllerNase?,field_support,positive,👍,evidence_missing_or_overstated
424,Deltava LifeSciences,MyoRelax,negative_spots,What kind of answer should be flagged as negative for MyoRelax?,field_support,negative,👎,failure_mode
280,Celestia Biologics,HeliClear Kit,comparison_language,How can HeliClear Kit be compared with competitors safely?,field_support,positive,👎,unsafe_comparison
515,Epsilon Care,SkinCalm,evidence_story,Summarize the evidence-based narrative for SkinCalm.,field_support,positive,👍,evidence_missing_or_overstated
157,Bravira Therapeutics,RespiraX HFA,safety,What are the key safety warnings for RespiraX HFA?,field_support,positive,👍,safety_gap
78,Asteron Pharma,GlucoSure XR,negative_spots,Which parts of the document would lead to negative feedback if misused?,field_support,negative,👎,failure_mode
181,Bravira Therapeutics,AllerNase,safety,What must be avoided when discussing AllerNase?,field_support,positive,👍,safety_gap
140,Bravira Therapeutics,RespiraX HFA,doctor_pitch,What is the doctor-facing message for RespiraX HFA?,field_support,positive,👍,pitch_clarity
348,Deltava LifeSciences,,What are the positive and negative retrieval signals?,What are the positive and negative retrieval signals?,document_retrieval,neutral,👎,none
456,Epsilon Care,AntiBac-CL,doctor_pitch,Give the doctor-facing pitch for AntiBac-CL.,field_support,positive,👍,pitch_clarity
73,Asteron Pharma,GlucoSure XR,safety,What safety points should the AI assistant mention for GlucoSure XR?,field_support,positive,👍,safety_gap
548,Bravira Therapeutics,,meta_pattern,What are the likely compliance gaps in this pharma doc?,analyzer_training,negative,👍,analysis_signal
63,Asteron Pharma,GlucoSure XR,evidence_story,What evidence should support GlucoSure XR?,field_support,positive,👍,evidence_missing_or_overstated
18,Asteron Pharma,,What checks are required before deploying this content?,What checks are required before deploying this content?,document_retrieval,neutral,👍,none
572,Epsilon Care,,meta_pattern,What language should the AI avoid for Epsilon Care?,analyzer_training,negative,👎,policy_violation
231,Celestia Biologics,,What should be validated before release?,What should be validated before release?,document_retrieval,neutral,👍,none
279,Celestia Biologics,HeliClear Kit,comparison_language,What comparison language is allowed for HeliClear Kit?,field_support,positive,👍,unsafe_comparison
130,Bravira Therapeutics,,What Q&A examples are provided for doctor support?,What Q&A examples are provided for doctor support?,document_retrieval,neutral,👎,none
496,Epsilon Care,DermaShield,safety,What are the safety guardrails for DermaShield?,field_support,positive,👍,safety_gap
493,Epsilon Care,DermaShield,comparison_language,What wording should be used versus competitors for DermaShield?,field_support,positive,👎,unsafe_comparison
567,Deltava LifeSciences,,meta_pattern,How can the system detect unsupported claims in Deltava LifeSciences documents?,analyzer_training,negative,👎,analysis_signal
267,Celestia Biologics,GastaZen,negative_spots,Where can the answer become non-compliant for GastaZen?,field_support,negative,👎,failure_mode
